timestep,age,mean,std,mode,2.5%,25%,50%,75%,97.5%
42181,2109.105,2.906860712,1.017551192,2.480121015,1.36128317,2.207497531,2.751761541,3.432476915,5.38291451
42182,2109.155,2.907950762,1.017490853,2.483628727,1.362389133,2.20867987,2.752402498,3.434320312,5.382360121
42183,2109.205,2.909042287,1.017436146,2.487132196,1.363794616,2.209203775,2.752266463,3.434693075,5.381145699
42184,2109.255,2.910128986,1.01739553,2.490660473,1.366877923,2.209407116,2.752592179,3.436507899,5.379938757
42185,2109.305,2.91121508,1.01736429,2.494224845,1.366409982,2.210071865,2.75357234,3.436937487,5.378605764
42186,2109.355,2.912302425,1.017338708,2.497827818,1.366229661,2.21258859,2.754134568,3.438124216,5.376646529
42187,2109.405,2.913393099,1.017320324,2.501405289,1.367668222,2.2121867,2.755541419,3.437743976,5.372690782
42188,2109.455,2.914486331,1.017310867,2.505035747,1.368471507,2.213711686,2.756694447,3.439377498,5.374865961
42189,2109.505,2.91558233,1.01730892,2.50872013,1.36958521,2.215098543,2.756853541,3.440866577,5.376485135
42190,2109.555,2.916683236,1.017310901,2.512318733,1.370981929,2.216325195,2.756759011,3.442743206,5.376159016
42191,2109.605,2.917788661,1.017320097,2.51586986,1.371469971,2.21777777,2.75753951,3.444537711,5.378966822
42192,2109.655,2.918898392,1.017335291,2.519360269,1.37339213,2.217904144,2.758103401,3.445406916,5.383757163
42193,2109.705,2.92001002,1.017352803,2.522831041,1.373766267,2.218430009,2.757564836,3.446337106,5.389809105
42194,2109.755,2.9211258,1.017371746,2.526261302,1.374209465,2.218551487,2.759304329,3.447945364,5.393192192
42195,2109.805,2.922244941,1.017398269,2.529714201,1.373764219,2.220474984,2.762050479,3.448954642,5.392941175
42196,2109.855,2.923367141,1.017431845,2.53307679,1.374781916,2.221228079,2.763863972,3.450550844,5.395122734
42197,2109.905,2.924493672,1.017474459,2.536341604,1.376467016,2.221903451,2.76484684,3.450351682,5.392896594
42198,2109.955,2.925623085,1.017521518,2.539481104,1.378100473,2.221750318,2.765777268,3.450812124,5.390670455
42199,2110.005,2.926754308,1.017570733,2.542572761,1.377888317,2.222056595,2.766812216,3.453259837,5.388444315
42200,2110.055,2.927889324,1.017627633,2.5455202,1.378356579,2.222610222,2.768887446,3.455024588,5.39536927
42201,2110.105,2.929033958,1.01768741,2.548326137,1.37842399,2.224616809,2.770263396,3.455680895,5.390673665
42202,2110.155,2.930183463,1.017741552,2.551047847,1.379387121,2.225578476,2.771119419,3.45695185,5.3899089
42203,2110.205,2.931331768,1.017792719,2.553665289,1.380025843,2.22682697,2.772304557,3.458419106,5.393532326
42204,2110.255,2.932478722,1.017837426,2.556118206,1.378782044,2.22784555,2.773297826,3.4610526,5.392234913
42205,2110.305,2.933630475,1.017886332,2.558461711,1.378541644,2.229341157,2.77587082,3.46152315,5.393274031
42206,2110.355,2.934783101,1.017935405,2.560647404,1.378536761,2.230319303,2.778022489,3.46262232,5.392858076
42207,2110.405,2.935937144,1.017989692,2.562675469,1.381683335,2.231769315,2.779141488,3.464311204,5.394668559
42208,2110.455,2.937089849,1.018056367,2.564525316,1.382968243,2.232599067,2.780191775,3.464652848,5.391340482
42209,2110.505,2.938244725,1.018129109,2.566243675,1.384414749,2.233610711,2.782598362,3.464896568,5.38800177
42210,2110.555,2.939402404,1.018207877,2.567801049,1.383286721,2.235160052,2.784825183,3.466902224,5.384663058
42211,2110.605,2.940561398,1.018293668,2.569184996,1.382384816,2.236681225,2.785121498,3.467107845,5.38130954
42212,2110.655,2.941722282,1.018385956,2.570419119,1.382148971,2.238091926,2.785985381,3.468434933,5.384808005
42213,2110.705,2.942887102,1.01848637,2.571530279,1.38196413,2.238565367,2.787571057,3.471042158,5.389558303
42214,2110.755,2.944056861,1.01859656,2.572506955,1.383004515,2.239355187,2.789576251,3.472513986,5.394258962
42215,2110.805,2.945229848,1.018713578,2.573347675,1.383165914,2.240266635,2.791697414,3.474719259,5.394078385
42216,2110.855,2.946406975,1.018834672,2.574085199,1.386949444,2.241485749,2.794063232,3.476097552,5.394201362
42217,2110.905,2.947587547,1.018964095,2.574696039,1.386615277,2.24336716,2.795358603,3.477856851,5.393602148
42218,2110.955,2.948772886,1.019102563,2.575208122,1.388468279,2.24386279,2.797347645,3.477324387,5.401300269
42219,2111.005,2.949962062,1.01924645,2.575567964,1.387808877,2.244905519,2.79905478,3.47926525,5.401715491
42220,2111.055,2.951156299,1.019397506,2.575750033,1.386186322,2.246985925,2.799391054,3.480801774,5.405099495
42221,2111.105,2.952355502,1.019555003,2.575747365,1.386778246,2.24719723,2.800163638,3.481460526,5.404851384
42222,2111.155,2.953556835,1.019712302,2.575632968,1.387386227,2.249069048,2.801117892,3.483080472,5.402959912
42223,2111.205,2.95475848,1.019874514,2.575474108,1.387982356,2.25071721,2.802315137,3.484931127,5.402661365
42224,2111.255,2.955962519,1.020042227,2.575309869,1.388485049,2.251053391,2.804704934,3.485567232,5.402883795
42225,2111.305,2.957170044,1.020220684,2.575167329,1.389566833,2.251374601,2.806646882,3.486197968,5.403083359
42226,2111.355,2.958384365,1.020403546,2.575332901,1.389826681,2.252176761,2.807866223,3.489095579,5.407968727
42227,2111.405,2.9596021,1.020589562,2.575512063,1.390351997,2.252739125,2.808701834,3.49099486,5.406039617
42228,2111.455,2.960822362,1.020782371,2.575642537,1.391045101,2.252619799,2.808967804,3.493079936,5.405730257
